DE;CODDIST;DISTR;CATEG;TIPOESC;CODESCMEC;NOMESC;;ENDESC;NUMESC;COMPLEND;BAIESC;CODCEP;COMPCEP;CEP;CAIXAPOSTA;CEPPOSTAL;DDD;FONE1;FONE1;FONE2;FONE2;FAX;EMAIL;FAX;email;SETOR
CENTRO;50;LIMAO;1;08;35000541;JOAQUIM NABUCO;Joaquim Nabuco;RUA JOAQUIM AFONSO DE SOUZA;355;;VILA CELESTE;02543;000;02543-000;;;011;22563577;+55 11 2256-3577;22561244;+55 11 2256-1244;22561244;E000541A@EDUCACAO.SP.GOV.B;+55 11 2256-1244;e000541a@educacao.sp.gov.b;02
CENTRO;60;PERDIZES;1;08;35003499;ZULEIKA DE BARROS MARTINS FERREIRA PROFESSORA;Zuleika De Barros Martins Ferreira Professora;RUA PADRE CHICO;420;;VILA POMPEIA;05008;010;05008-010;;;011;36732765;+55 11 3673-2765;38649636;+55 11 3864-9636;;E003499A@EDUCACAO.SP.GOV.BR;;e003499a@educacao.sp.gov.br;01
CENTRO;69;SANTA CECILIA;1;08;35003426;CANUTO DO VAL;Canuto Do Val;AVENIDA DOUTOR ABRAAO RIBEIRO;526;;BOM RETIRO;01133;020;01133-020;;;011;33923299;+55 11 3392-3299;;;33925164;E003426A@EDUCACAO.SP.GOV.BR;+55 11 3392-5164;e003426a@educacao.sp.gov.br;01
CENTRO;69;SANTA CECILIA;1;08;35003670;FIDELINO FIGUEIREDO PROFESSOR;Fidelino Figueiredo Professor;RUA IMACULADA CONCEICAO;71;;VILA BUARQUE;01226;020;01226-020;;;011;38262931;+55 11 3826-2931;;;38264643;E003670A@EDUCACAO.SP.GOV.BR;+55 11 3826-4643;e003670a@educacao.sp.gov.br;02
CENTRO;70;SANTANA;1;08;35001120;EXPEDICIONARIO BRASILEIRO;Expedicionario Brasileiro;RUA ALTINOPOLIS;501;;AGUA FRIA;02334;001;02334-001;;;011;29768066;+55 11 2976-8066;29780218;+55 11 2978-0218;29754215;E001120A@EDUCACAO.SP.GOV.BR;+55 11 2975-4215;e001120a@educacao.sp.gov.br;05
CENTRO;86;VILA GUILHERME;1;08;35000966;GONCALVES DIAS;Goncalves Dias;RUA NILO LUIS MAZZEI;SN;;VILA ISOLINA MAZZEI;02081;070;02081-070;;;011;29767684;+55 11 2976-7684;29834184;+55 11 2983-4184;;E000966A@EDUCACAO.SP.GOV.BR;;e000966a@educacao.sp.gov.br;03
CENTRO;86;VILA GUILHERME;1;08;35000978;CASIMIRO DE ABREU;Casimiro De Abreu;RUA CORONEL JORDAO;144;;VILA PAIVA;02075;030;02075-030;;;011;29091149;+55 11 2909-1149;;;;E000978A@EDUCACAO.SP.GOV.BR;;e000978a@educacao.sp.gov.br;01
CENTRO;86;VILA GUILHERME;2;15;35454734;PENITENCIARIA FEMININA DA CAPITAL;Penitenciaria Feminina Da Capital;AV ZAKI NARCHI;1369;;CARANDIRU;02029;001;02029-001;;;011;22219444;+55 11 2221-9444;;;22211379;;+55 11 2221-1379;;01
NORTE 2;13;CACHOEIRINHA;1;08;35000607;TITO PRATES DA FONSECA;Tito Prates Da Fonseca;R MENDONCA JUNIOR;611;;VILA DOS ANDRADES;02610;010;02610-010;;;011;39812872;+55 11 3981-2872;38516330;+55 11 3851-6330;38516330;E000607A@EDUCACAO.SP.GOV.BR;+55 11 3851-6330;e000607a@educacao.sp.gov.br;05
NORTE 2;13;CACHOEIRINHA;1;08;35000693;RITA BICUDO PEREIRA PROFA;Rita Bicudo Pereira Profa;AV PERI RONCHETTI;494;;JARDIM PERI;02633;000;02633-000;;;011;22322066;+55 11 2232-2066;22334686;+55 11 2233-4686;22322066;E000693A@EDUCACAO.SP.GOV.BR;+55 11 2232-2066;e000693a@educacao.sp.gov.br;02
NORTE 2;13;CACHOEIRINHA;1;08;35036821;GUILHERME DE ALMEIDA;Guilherme De Almeida;AV PARADA PINTO;2355;;VILA NOVA CACHOEIRINHA;02611;003;02611-003;;;011;22314211;+55 11 2231-4211;22334683;+55 11 2233-4683;22314211;E036821A@EDUCACAO.SP.GOV.BR;+55 11 2231-4211;e036821a@educacao.sp.gov.br;03
NORTE 2;39;JACANA;1;08;35918748;FELICIO TONETTI;Felicio Tonetti;R JOSE MILTON BARBOSA;138;;CONJUNTO HABITACIONAL JOVA RURAL;02281;214;02281-214;;;011;22495635;+55 11 2249-5635;22410021;+55 11 2241-0021;;E918748A@EDUCACAO.SP.GOV.BR;;e918748a@educacao.sp.gov.br;39
NORTE 2;51;MANDAQUI;1;08;35000772;VISCONDE DE INHAUMA ALMIRANTE;Visconde De Inhauma Almirante;AV DO GUACA;1382;;LAUZANE PAULISTA;02435;001;02435-001;;;011;22317192;+55 11 2231-7192;22334684;+55 11 2233-4684;22317192;E000772A@EDUCACAO.SP.GOV.BR;+55 11 2231-7192;e000772a@educacao.sp.gov.br;04
NORTE 2;81;TREMEMBE;1;08;35001077;JUDITH GUIMARAES DOS SANTOS PROFA;Judith Guimaraes Dos Santos Profa;R MANUEL PEREIRA SAMPAIO;66;;BORTOLANDIA;02352;030;02352-030;;;011;22041854;+55 11 2204-1854;29539557;+55 11 2953-9557;22041854;E001077A@EDUCACAO.SP.GOV.BR;+55 11 2204-1854;e001077a@educacao.sp.gov.br;05
NORTE 2;81;TREMEMBE;1;08;35001314;CASSIO DA COSTA VIDIGAL;Cassio Da Costa Vidigal;R MUNIZ FERREIRA;121;;JARDIM JOAMAR;02321;170;02321-170;;;011;22435216;+55 11 2243-5216;22431981;+55 11 2243-1981;;E001314A@EDUCACAO.SP.GOV.BR;;e001314a@educacao.sp.gov.br;05
NORTE 2;82;TUCURUVI;1;08;35001173;ALBINO CESAR;Albino Cesar;R CAJAMAR;5;;VILA MAZZEI;02308;090;02308-090;;;011;29522644;+55 11 2952-2644;29520549;+55 11 2952-0549;29522644;E001173A@EDUCACAO.SP.GOV.BR;+55 11 2952-2644;e001173a@educacao.sp.gov.br;02
NORTE 2;82;TUCURUVI;1;08;35001259;JOAO LIGABUE CONEGO;Joao Ligabue Conego;R DA GROTA;483;;VILA GUSTAVO;02206;010;02206-010;;;011;29817452;+55 11 2981-7452;29833552;+55 11 2983-3552;29817452;E001259A@EDUCACAO.SP.GOV.BR;+55 11 2981-7452;e001259a@educacao.sp.gov.br;04
NORTE 2;82;TUCURUVI;1;08;35001284;AMENAIDE BRAGA DE QUEIROZ PROFA;Amenaide Braga De Queiroz Profa;R BARRA MANSA;480;;JARDIM FRANCA;02337;040;02337-040;;;011;22049633;+55 11 2204-9633;29535485;+55 11 2953-5485;;E001284A@EDUCACAO.SP.GOV.BR;;e001284a@educacao.sp.gov.br;01
NORTE 2;92;VILA MEDEIROS;1;06;35458314;CEL JTO A EE VERIDIANA CAMACHO CARVALHO GOMES PROFA;Cel Jto A Ee Veridiana Camacho Carvalho Gomes Profa;R CARLOS DOS SANTOS;781;;JARDIM BRASIL (ZONA NORTE);02234;000;02234-000;;;011;22492168;+55 11 2249-2168;;;22426177;E037783A@EDUCACAO.SP.GOV.BR;+55 11 2242-6177;e037783a@educacao.sp.gov.br;01
NORTE 2;92;VILA MEDEIROS;1;08;35001036;SEBASTIAO DE SOUZA BUENO PROF;Sebastiao De Souza Bueno Prof;R FRANCISCO DE MEDEIROS JORDAO;579;;VILA MEDEIROS;02214;030;02214-030;;;011;22018592;+55 11 2201-8592;22018592;+55 11 2201-8592;22018592;E001036A@EDUCACAO.SP.GOV.BR;+55 11 2201-8592;e001036a@educacao.sp.gov.br;04
LESTE 5;01;AGUA RASA;1;08;35001624;WOLNY CARVALHO RAMOS PROFESSOR;Wolny Carvalho Ramos Professor;R BOM JESUS;909;;VILA REGENTE FEIJO;03344;000;03344-000;;;011;29657592;+55 11 2965-7592;29651370;+55 11 2965-1370;29657592;E001624A@EDUCACAO.SP.GOV.BR;+55 11 2965-7592;e001624a@educacao.sp.gov.br;02
LESTE 5;04;ARICANDUVA;1;08;35041695;GUILHERME GIORGI COMENDADOR;Guilherme Giorgi Comendador;R SEBASTIAO MARCHESONI;50;;JARDIM DAS ROSAS;03909;070;03909-070;;;011;27219171;+55 11 2721-9171;27213080;+55 11 2721-3080;27219171;E041695A@EDUCACAO.SP.GOV.BR;+55 11 2721-9171;e041695a@educacao.sp.gov.br;04
LESTE 5;72;SAO LUCAS;1;08;35001867;LUIZA MENDES CORREA SOUZA PROFESSORA;Luiza Mendes Correa Souza Professora;AVENIDA PROFESSOR LUIZ IGNACIO ANHAIA MELLO;5796;;PARQUE SAO LUCAS;03294;100;03294-100;;;011;21155205;+55 11 2115-5205;;;22117280;E001867A@EDUCACAO.SP.GOV.BR;+55 11 2211-7280;e001867a@educacao.sp.gov.br;02
LESTE 5;72;SAO LUCAS;1;08;35001880;JOSE CHEDIAK;Jose Chediak;AV DO ORATORIO;2320;;PARQUE SAO LUCAS;03220;100;03220-100;;;011;22167909;+55 11 2216-7909;22136555;+55 11 2213-6555;22167909;E001880A@EDUCACAO.SP.GOV.BR;+55 11 2216-7909;e001880a@educacao.sp.gov.br;02
LESTE 1;18;CANGAIBA;1;08;35037011;GERALDO CAMPOS MOREIRA PROFESSOR DOUTOR;Geraldo Campos Moreira Professor Doutor;R MUTUIPE;10;;PARQUE CISPER;03819;090;03819-090;;;011;29437669;+55 11 2943-7669;29431447;+55 11 2943-1447;;E037011A@EDUCACAO.SP.GOV.BR;;e037011a@educacao.sp.gov.br;04
LESTE 1;18;CANGAIBA;1;08;35046280;MARIA APARECIDA MACHADO JULIANELLI;Maria Aparecida Machado Julianelli;R PEDRO MARCIANO DE ALCANTARA;18;;ENGENHEIRO GOULART;03726;010;03726-010;;;011;26214258;+55 11 2621-4258;26215721;+55 11 2621-5721;;E046280A@EDUCACAO.SP.GOV.BR;;e046280a@educacao.sp.gov.br;03
LESTE 1;28;ERMELINO MATARAZZO;1;08;35040964;LEONOR RENDESI PROFESSORA;Leonor Rendesi Professora;R BOAVENTURA RODRIGUES DA SILVA;1000;;PARQUE BOTURUSSU;03801;120;03801-120;;;011;25467799;+55 11 2546-7799;25415941;+55 11 2541-5941;;E040964A@EDUCACAO.SP.GOV.BR;;e040964a@educacao.sp.gov.br;02
LESTE 1;37;ITAQUERA;1;08;35003074;GERALDO DOMINGOS CORTEZ PROFESSOR;Geraldo Domingos Cortez Professor;R ALVARO DE MENDONCA;914;;ITAQUERA;08215;290;08215-290;;;011;22056679;+55 11 2205-6679;22865833;+55 11 2286-5833;;E003074A@EDUCACAO.SP.GOV.BR;;e003074a@educacao.sp.gov.br;03
LESTE 1;37;ITAQUERA;1;08;35003086;HELENA LOMBARDI BRAGA PROFESSORA;Helena Lombardi Braga Professora;R VIRGINIA DE MIRANDA;138;;JARDIM NORMA;08240;010;08240-010;;;011;20515290;+55 11 2051-5290;20516695;+55 11 2051-6695;;E003086A@EDUCACAO.SP.GOV.BR;;e003086a@educacao.sp.gov.br;05
LESTE 1;37;ITAQUERA;1;08;35003220;MILTON CRUZEIRO PROFESSOR;Milton Cruzeiro Professor;AV DAS ALAMANDAS;36;;CIDADE ANTONIO ESTEVAO DE CARVALHO;08225;310;08225-310;;;011;20414488;+55 11 2041-4488;20430813;+55 11 2043-0813;;E003220A@EDUCACAO.SP.GOV.BR;;e003220a@educacao.sp.gov.br;06
LESTE 1;37;ITAQUERA;1;08;35048689;RUTH CABRAL TRONCARELLI PROFESSORA;Ruth Cabral Troncarelli Professora;R ANTONIO GANDINI;690;;ITAQUERA;08215;460;08215-460;;;011;22050709;+55 11 2205-0709;;;22863636;E048689A@EDUCACAO.SP.GOV.BR;+55 11 2286-3636;e048689a@educacao.sp.gov.br;03
LESTE 1;37;ITAQUERA;1;08;35907005;NABIHA ABDALLA CHOHFI;Nabiha Abdalla Chohfi;R RAIMUNDO GONCALVES FERREIRA;466;;JARDIM AURORA (ZONA LESTE);08225;410;08225-410;;;011;20414500;+55 11 2041-4500;20462835;+55 11 2046-2835;;E907005A@EDUCACAO.SP.GOV.BR;;e907005a@educacao.sp.gov.br;06
LESTE 1;59;PENHA;1;08;35002379;RITA JULIA DE OLIVEIRA PROFESSORA;Rita Julia De Oliveira Professora;R MIRANDINHA;881;;PENHA DE FRANCA;03641;000;03641-000;;;011;26846300;+55 11 2684-6300;29577285;+55 11 2957-7285;;E002379A@EDUCACAO.SP.GOV.BR;;e002379a@educacao.sp.gov.br;02
LESTE 1;59;PENHA;1;08;35002392;JOSE BARTOCCI PROFESSOR;Jose Bartocci Professor;R SAO SERAPIAO;396;;VILA RE;03664;000;03664-000;;;011;29577646;+55 11 2957-7646;29573629;+55 11 2957-3629;;E002392A@EDUCACAO.SP.GOV.BR;;e002392a@educacao.sp.gov.br;03
LESTE 1;59;PENHA;1;08;35002446;JOSE DE CAMPOS CAMARGO PROFESSOR;Jose De Campos Camargo Professor;R SAO SEVERIANO;217;;VILA SANTANA;03613;030;03613-030;;;011;26845166;+55 11 2684-5166;29570954;+55 11 2957-0954;;E002446A@EDUCACAO.SP.GOV.BR;;e002446a@educacao.sp.gov.br;01
LESTE 1;59;PENHA;1;08;35002483;ESTHER FRANKEL SAMPAIO;Esther Frankel Sampaio;RUA TUJUBA;1475;;PENHA DE FRANCA;03610;000;03610-000;;;011;26417127;+55 11 2641-7127;26413823;+55 11 2641-3823;;E002483A@EDUCACAO.SP.GOV.BR;;e002483a@educacao.sp.gov.br;01
LESTE 1;59;PENHA;1;08;35002537;ADALGISA MOREIRA PIRES PROFESSORA;Adalgisa Moreira Pires Professora;R MARCIANO CAPELLA;257;;VILA RE;03669;030;03669-030;;;011;26843034;+55 11 2684-3034;;;29573635;E002537A@EDUCACAO.SP.GOV.BR;+55 11 2957-3635;e002537a@educacao.sp.gov.br;03
LESTE 1;59;PENHA;1;08;35002562;MARIA DE CARVALHO SENNE PROFESSORA;Maria De Carvalho Senne Professora;R PUQUIXA;SN;;VILA RE;03656;060;03656-060;;;011;29576657;+55 11 2957-6657;29570101;+55 11 2957-0101;;E002562A@EDUCACAO.SP.GOV.BR;;e002562a@educacao.sp.gov.br;03
LESTE 1;87;VILA JACUI;1;08;35915683;JARDIM DAS CAMELIAS;Jardim Das Camelias;R CANGICA;50;;JARDIM DAS CAMELIAS;08050;390;08050-390;;;011;20543399;+55 11 2054-3399;20540090;+55 11 2054-0090;;E915683A@EDUCACAO.SP.GOV.BR;;e915683a@educacao.sp.gov.br;06
LESTE 4;05;ARTUR ALVIM;1;08;35914678;OCTAVIO MARCONDES FERRAZ ENGENHEIRO;Octavio Marcondes Ferraz Engenheiro;AV WALDEMAR TIETZ;1477;;CONJUNTO HABITACIONAL PADRE JOSE DE ANCHIETA;03589;001;03589-001;;;011;27421291;+55 11 2742-1291;27428524;+55 11 2742-8524;27421291;E914678A@EDUCACAO.SP.GOV.BR;+55 11 2742-1291;e914678a@educacao.sp.gov.br;03
LESTE 4;57;PARQUE DO CARMO;1;08;35906190;FRANCISCO MIGNONE;Francisco Mignone;R RIO BIRIGUI;SN;;GLEBA DO PESSEGO;08265;290;08265-290;;;011;25214923;+55 11 2521-4923;25233827;+55 11 2523-3827;25233827;E906190A@EDUCACAO.SP.GOV.BR;+55 11 2523-3827;e906190a@educacao.sp.gov.br;05
LESTE 4;57;PARQUE DO CARMO;1;08;35914812;MANOEL DE MELO MISSIONARIO;Manoel De Melo Missionario;R ARCADIA PAULISTANA;205;;JARDIM NOSSA SENHORA DO CARMO;08280;540;08280-540;;;011;27485811;+55 11 2748-5811;27480628;+55 11 2748-0628;27480628;E914812A@EDUCACAO.SP.GOV.BR;+55 11 2748-0628;e914812a@educacao.sp.gov.br;03
LESTE 4;76;SAPOPEMBA;1;08;35048628;EMIR MACEDO NOGUEIRA JORNALISTA PROF;Emir Macedo Nogueira Jornalista Prof;R IACAPE;322;;PARQUE SANTA MADALENA;03983;090;03983-090;;;011;27031185;+55 11 2703-1185;27189713;+55 11 2718-9713;27031185;E048628A@EDUCACAO.SP.GOV.BR;+55 11 2703-1185;e048628a@educacao.sp.gov.br;07
LESTE 4;91;VILA MATILDE;1;06;35411875;CEL JTO A EE DONA ZALINA ROLIM;Cel Jto A Ee Dona Zalina Rolim;RUA DOUTOR LUIS CARLOS;740;;VILA ARICANDUVA;03505;000;03505-000;;;011;20975767;+55 11 2097-5767;;;;;;;01
LESTE 4;91;VILA MATILDE;1;08;35002434;JAMIL PEDRO SAWAYA PROF;Jamil Pedro Sawaya Prof;R PALMEIRINA;189;;CIDADE PATRIARCA;03556;010;03556-010;;;011;27490957;+55 11 2749-0957;27494365;+55 11 2749-4365;27490957;E002434A@EDUCACAO.SP.GOV.BR;+55 11 2749-0957;e002434a@educacao.sp.gov.br;03
LESTE 4;91;VILA MATILDE;1;08;35908997;MENOTTI DEL PICCHIA POETA;Menotti Del Picchia Poeta;R COROATA;540;;JARDIM HERCILIA;03557;010;03557-010;;;011;29582952;+55 11 2958-2952;26854819;+55 11 2685-4819;29582952;E908997A@EDUCACAO.SP.GOV.BR;+55 11 2958-2952;e908997a@educacao.sp.gov.br;05
LESTE 2;36;ITAIM PAULISTA;1;08;35901726;JOSE BUSTAMANTE DEPUTADO;Jose Bustamante Deputado;R ANTONIO DE CAMARGO ORTIZ;2;;PARQUE SANTA AMELIA;08122;270;08122-270;;;011;29632366;+55 11 2963-2366;36789091;+55 11 3678-9091;29631622;E901726A@EDUCACAO.SP.GOV.BR;+55 11 2963-1622;e901726a@educacao.sp.gov.br;07
LESTE 2;36;ITAIM PAULISTA;1;08;35916535;ROGER JULES DE CARVALHO MANGE;Roger Jules De Carvalho Mange;R ESTUDANTES DA CHINA;570;CONJUNTO HABI;ITAIM PAULISTA;08131;220;08131-220;;;011;29633153;+55 11 2963-3153;29631772;+55 11 2963-1772;29633153;E916535A@EDUCACAO.SP.GOV.BR;+55 11 2963-3153;e916535a@educacao.sp.gov.br;10
LESTE 2;36;ITAIM PAULISTA;1;08;35917382;PAULINA MADRE;Paulina Madre;R PADRE VIRGILIO CAMPELO;130;;ITAIM PAULISTA;08131;310;08131-310;;;011;29633158;+55 11 2963-3158;;;29633158;E917382A@EDUCACAO.SP.GOV.BR;+55 11 2963-3158;e917382a@educacao.sp.gov.br;10
LESTE 2;36;ITAIM PAULISTA;1;08;35923795;CELIA RIBEIRO LANDIM PROFA;Celia Ribeiro Landim Profa;R LOURENCO FRANCO DO PRADO;10;;JARDIM NELIA;08142;230;08142-230;;;011;29638421;+55 11 2963-8421;23690806;+55 11 2369-0806;23690806;E923795A@EDUCACAO.SP.GOV.BR;+55 11 2369-0806;e923795a@educacao.sp.gov.br;10
LESTE 2;44;JARDIM HELENA;1;08;35483631;JARDIM ROMANO;Jardim Romano;AV TOMAS LOPES DE CAMARGO;510;;JARDIM ROMANO - ITAIM PAULISTA;08191;230;08191-230;;;011;;;25850190;+55 11 2585-0190;;E483631A@EDUCACAO.SP.GOV.BR;;e483631a@educacao.sp.gov.br;06
LESTE 2;74;SAO MIGUEL;1;08;35003001;DARIO DE QUEIROZ PROF;Dario De Queiroz Prof;R LUIS ATILIO ROSSI;75;;CIDADE NITRO OPERARIA;08010;440;08010-440;;;011;22972909;+55 11 2297-2909;22970434;+55 11 2297-0434;;E003001A@EDUCACAO.SP.GOV.BR;;e003001a@educacao.sp.gov.br;04
LESTE 2;74;SAO MIGUEL;1;08;35046224;PEDRO MOREIRA MATOS PROF;Pedro Moreira Matos Prof;R RAFAEL ZIMBARDI;38;;JARDIM NAIR;08071;130;08071-130;;;011;22979374;+55 11 2297-9374;22971300;+55 11 2297-1300;;E046224A@EDUCACAO.SP.GOV.BR;;e046224a@educacao.sp.gov.br;01
LESTE 2;84;VILA CURUCA;1;08;35925202;VILA NOVA CURUCA UNIDADE II;Vila Nova Curuca Unidade Ii;R GAIVAO;177;;VILA NOVA CURUCA;08031;180;08031-180;;;011;25140555;+55 11 2514-0555;25144788;+55 11 2514-4788;;E925202A@EDUCACAO.SP.GOV.BR;;e925202a@educacao.sp.gov.br;02
LESTE 2;96;LAJEADO;1;08;35003281;BALBINA NETTO VELLOSO PROFA;Balbina Netto Velloso Profa;R FRANCISCO FERNANDES FRAZAO;37;;LAGEADO;08452;180;08452-180;;;011;25570154;+55 11 2557-0154;29611396;+55 11 2961-1396;25570154;E003281A@EDUCACAO.SP.GOV.BR;+55 11 2557-0154;e003281a@educacao.sp.gov.br;02
LESTE 3;25;CIDADE TIRADENTES;1;08;35904922;CANDIDO PROCOPIO FERREIRA DE CAMARGO PROFESSOR;Candido Procopio Ferreira De Camargo Professor;R SARA KUBITSCHECK;215;;CONJUNTO HABITACIONAL CASTRO ALVES;08474;000;08474-000;;;011;22820262;+55 11 2282-0262;22828721;+55 11 2282-8721;;E904922A@EDUCACAO.SP.GOV.BR;;e904922a@educacao.sp.gov.br;03
LESTE 3;31;GUAIANASES;1;08;35914721;ZIPORA RUBINSTEIN PROFESSORA;Zipora Rubinstein Professora;RUA IRMAO DEODORO;830;;VILA PRINCESA ISABEL;08410;410;08410-410;;;011;25579855;+55 11 2557-9855;25571013;+55 11 2557-1013;25579855;E914721A@EDUCACAO.SP.GOV.BR;+55 11 2557-9855;e914721a@educacao.sp.gov.br;01
LESTE 3;33;IGUATEMI;1;08;35902615;ANTONIETA DE SOUZA ALCANTARA;Antonieta De Souza Alcantara;R PIRAMIDE DOS PIQUES;101;;JARDIM DA LARANJEIRA (ZONA LESTE);08381;020;08381-020;;;011;27315159;+55 11 2731-5159;;;27345011;E902615A@EDUCACAO.SP.GOV.BR;+55 11 2734-5011;e902615a@educacao.sp.gov.br;04
LESTE 3;33;IGUATEMI;1;08;35909166;CARMELINDA MARQUES PEREIRA PROFESSORA;Carmelinda Marques Pereira Professora;R BORZEGUIM;90;;JARDIM ALTO ALEGRE (SAO RAFAEL);08381;660;08381-660;;;011;27344999;+55 11 2734-4999;27314156;+55 11 2731-4156;27314156;E909166A@EDUCACAO.SP.GOV.BR;+55 11 2731-4156;e909166a@educacao.sp.gov.br;08
LESTE 3;33;IGUATEMI;1;08;35923047;VILA BELA;Vila Bela;TV TERRA TOMBADA;SN;;JARDIM DA CONQUISTA (ZONA OESTE);08344;600;08344-600;;;011;27317940;+55 11 2731-7940;27344173;+55 11 2734-4173;;E923047A@EDUCACAO.SP.GOV.BR;;e923047a@educacao.sp.gov.br;07
LESTE 3;33;IGUATEMI;1;08;35923266;JARDIM IGUATEMI;Jardim Iguatemi;R CONFEDERACAO DOS TAMOIOS;182;;JARDIM IGUATEMI;08380;220;08380-220;;;011;20598055;+55 11 2059-8055;20598054;+55 11 2059-8054;;E923266A@EDUCACAO.SP.GOV.BR;;e923266a@educacao.sp.gov.br;05
LESTE 3;47;JOSE BONIFACIO;1;08;35412173;JUAN CARLOS ONETTI ESCRITOR;Juan Carlos Onetti Escritor;RUA CAMUTANGA;SN;;CONJUNTO JOSE BONIFACIO;08260;340;08260-340;;;011;22178275;+55 11 2217-8275;22178470;+55 11 2217-8470;;E412173A@EDUCACAO.SP.GOV.BR;;e412173a@educacao.sp.gov.br;04
LESTE 3;47;JOSE BONIFACIO;1;08;35902718;JOAO CASTELLANO PROFESSOR;Joao Castellano Professor;R TOMOICHI SHIMIZU;758;;JARDIM CIBELE;08260;140;08260-140;;;011;25215092;+55 11 2521-5092;25217950;+55 11 2521-7950;;E902718A@EDUCACAO.SP.GOV.BR;;e902718a@educacao.sp.gov.br;05
LESTE 3;47;JOSE BONIFACIO;1;08;35916766;CONJUNTO HABITACIONAL ITAQUERA IV I;Conjunto Habitacional Itaquera Iv I;R AQUARELA DO BRASIL;20;;CONJUNTO RESIDENCIAL JOSE BONIFACIO;08257;030;08257-030;;;011;25219000;+55 11 2521-9000;25215570;+55 11 2521-5570;25219000;E916766A@EDUCACAO.SP.GOV.BR;+55 11 2521-9000;e916766a@educacao.sp.gov.br;03
